track,album,year,duration_sec,time_signature,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,popularity
Come And Buy My Toys,David Bowie,1967,129,4,0.511,0.183,7,-16.877,1,0.0604,0.847,0.00000108,0.103,0.529,105.661,33
When I Live My Dream,David Bowie,1967,204,4,0.487,0.19,5,-14.557,1,0.0294,0.712,0,0.236,0.497,91.284,30
Love You Till Tuesday,David Bowie,1967,194,4,0.542,0.346,0,-15.528,1,0.0338,0.774,0.0000433,0.0651,0.834,148.984,29
Uncle Arthur,David Bowie,1967,131,4,0.689,0.337,4,-15.009,1,0.0783,0.701,0,0.0882,0.916,101.078,27
Rubber Band,David Bowie,1967,139,4,0.726,0.312,2,-16.492,1,0.0725,0.826,0.0000101,0.123,0.461,125.776,27
Sell Me A Coat,David Bowie,1967,182,4,0.569,0.256,7,-15.261,1,0.0462,0.743,0,0.154,0.516,125.484,25
There Is A Happy Land,David Bowie,1967,197,4,0.572,0.338,9,-14.829,0,0.0275,0.719,0.0000018,0.1,0.572,98.887,25
She's Got Medals,David Bowie,1967,146,4,0.575,0.417,9,-11.966,1,0.0575,0.376,0.0000015,0.277,0.513,143.639,25
We Are Hungry Men,David Bowie,1967,180,4,0.4,0.365,2,-14.003,1,0.0639,0.191,0,0.133,0.778,147.764,23
Maid Of Bond Street,David Bowie,1967,105,3,0.588,0.326,7,-12.594,1,0.0582,0.795,0,0.34,0.709,90.028,23
Please Mr. Gravedigger,David Bowie,1967,156,4,0.471,0.523,2,-18.698,1,0.87,0.665,0,0.264,0.321,127.863,23
Join The Gang,David Bowie,1967,141,4,0.526,0.481,2,-13.734,1,0.196,0.647,0,0.0927,0.9,124.049,22
Space Oddity,David Bowie (aka Space Oddity),1969,318,4,0.31,0.403,0,-13.664,1,0.0326,0.0726,0.0000927,0.139,0.466,134.48,71
Letter to Hermione,David Bowie (aka Space Oddity),1969,156,4,0.409,0.264,4,-16.366,0,0.0381,0.846,0.00021,0.108,0.55,81.053,39
God Knows I'm Good,David Bowie (aka Space Oddity),1969,202,4,0.418,0.436,7,-12.942,1,0.0327,0.527,0,0.0896,0.704,169.748,39
Unwashed and Somewhat Slightly Dazed,David Bowie (aka Space Oddity),1969,412,4,0.274,0.755,5,-10.107,1,0.0919,0.00483,0.0000192,0.204,0.574,165.438,34
Cygnet Committee,David Bowie (aka Space Oddity),1969,579,4,0.308,0.537,0,-11.115,1,0.0447,0.124,0,0.0812,0.322,132.942,34
Memory of a Free Festival,David Bowie (aka Space Oddity),1969,430,4,0.292,0.396,7,-11.413,1,0.0469,0.539,0,0.0818,0.353,121.192,33
Janine,David Bowie (aka Space Oddity),1969,205,4,0.541,0.664,7,-11.418,1,0.0521,0.0608,0.00000955,0.0814,0.77,88.883,31
An Occasional Dream,David Bowie (aka Space Oddity),1969,180,4,0.349,0.341,7,-14.701,1,0.0321,0.837,0.00398,0.108,0.224,140.254,31
Wild Eyed Boy from Freecloud,David Bowie (aka Space Oddity),1969,293,4,0.393,0.3,4,-12.535,0,0.033,0.809,0.000768,0.255,0.153,127.762,31
The Man Who Sold the World,The Man Who Sold the World ,1970,241,4,0.474,0.387,2,-14.416,0,0.0305,0.642,0.00557,0.143,0.545,118.486,62
The Width of a Circle,The Man Who Sold the World ,1970,492,4,0.383,0.43,9,-13.691,1,0.0383,0.0119,0.0193,0.213,0.18,133.826,41
All the Madmen,The Man Who Sold the World ,1970,343,4,0.352,0.424,11,-11.84,0,0.0397,0.146,0,0.066,0.181,134.382,36
